nuevas,dosis_total_diff,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
1409,0.0,0.0,0.0,0.0,,,
1040,0.0,0.0,0.0,0.0,,,
1526,0.0,0.0,0.0,0.0,,,
1719,0.0,0.0,0.0,0.0,,,
2143,0.0,0.0,0.0,0.0,,,
317,0.0,0.0,0.0,0.0,,,
642,0.0,0.0,0.0,0.0,,,
1972,0.0,0.0,0.0,0.0,,,
732,0.0,0.0,0.0,0.0,,,
1872,0.0,0.0,0.0,0.0,,,
1491,0.0,0.0,0.0,0.0,,,
799,0.0,0.0,0.0,0.0,,,
292,0.0,0.0,0.0,0.0,,,
932,0.0,0.0,0.0,0.0,,,
2249,0.0,0.0,0.0,0.0,,,
1254,0.0,0.0,0.0,0.0,,,
1329,0.0,0.0,0.0,0.0,,,
1506,0.0,0.0,0.0,0.0,,,
766,0.0,0.0,0.0,0.0,,,
218,0.0,0.0,0.0,0.0,,,
784,0.0,0.0,0.0,0.0,,,
1298,0.0,0.0,0.0,0.0,,,
1537,0.0,0.0,0.0,0.0,,,
950,0.0,0.0,0.0,0.0,,,
817,0.0,0.0,0.0,0.0,,,
683,0.0,0.0,0.0,0.0,,,
305,0.0,0.0,0.0,0.0,,,
717,0.0,0.0,0.0,0.0,,,
1475,0.0,0.0,0.0,0.0,,,
1514,0.0,0.0,0.0,0.0,,,
803,0.0,0.0,0.0,0.0,,,
980,0.0,0.0,0.0,0.0,,,
205,0.0,0.0,0.0,0.0,,,
282,0.0,0.0,0.0,0.0,,,
856,0.0,0.0,0.0,0.0,,,
912,0.0,0.0,0.0,0.0,,,
1277,0.0,0.0,0.0,0.0,,,
1299,0.0,0.0,0.0,0.0,,,
763,0.0,0.0,0.0,0.0,,,
867,0.0,0.0,0.0,0.0,,,
134,0.0,0.0,0.0,0.0,,,
692,0.0,0.0,0.0,0.0,,,
1510,0.0,0.0,0.0,0.0,,,
826,0.0,0.0,0.0,0.0,,,
1819,0.0,0.0,0.0,0.0,,,
1344,0.0,0.0,0.0,0.0,,,
2021,0.0,0.0,0.0,0.0,,,
543,0.0,0.0,0.0,0.0,,,
1014,0.0,0.0,0.0,0.0,,,
1716,0.0,0.0,0.0,0.0,,,
1394,0.0,0.0,0.0,0.0,,,
845,0.0,0.0,0.0,0.0,,,
1045,0.0,0.0,0.0,0.0,,,
1002,0.0,0.0,0.0,0.0,,,
368,0.0,0.0,0.0,0.0,,,
548,0.0,0.0,0.0,0.0,,,
1323,0.0,0.0,0.0,0.0,,,
350,0.0,0.0,0.0,0.0,,,
725,0.0,0.0,0.0,0.0,,,
978,0.0,0.0,0.0,0.0,,,
1421,0.0,0.0,0.0,0.0,,,
362,0.0,0.0,0.0,0.0,,,
442,0.0,0.0,0.0,0.0,,,
919,0.0,0.0,0.0,0.0,,,
883,0.0,0.0,0.0,0.0,,,
1161,0.0,0.0,0.0,0.0,,,
953,0.0,0.0,0.0,0.0,,,
668,0.0,0.0,0.0,0.0,,,
381,0.0,0.0,0.0,0.0,,,
428,0.0,0.0,0.0,0.0,,,
1146,0.0,0.0,0.0,0.0,,,
996,0.0,0.0,0.0,0.0,,,
594,0.0,0.0,0.0,0.0,,,
1036,0.0,0.0,0.0,0.0,,,
767,0.0,0.0,0.0,0.0,,,
301,0.0,0.0,0.0,0.0,,,
492,0.0,0.0,0.0,0.0,,,
794,0.0,0.0,0.0,0.0,,,
908,0.0,0.0,0.0,0.0,,,
1396,0.0,0.0,0.0,0.0,,,
1375,0.0,0.0,0.0,0.0,,,
1208,0.0,0.0,0.0,0.0,,,
568,0.0,0.0,0.0,0.0,,,
988,0.0,0.0,0.0,0.0,,,
1203,0.0,0.0,0.0,0.0,,,
1008,0.0,0.0,0.0,0.0,,,
598,0.0,0.0,0.0,0.0,,,
909,0.0,0.0,0.0,0.0,,,
607,0.0,0.0,0.0,0.0,,,
246,0.0,0.0,0.0,0.0,,,
508,0.0,0.0,0.0,0.0,,,
476,0.0,0.0,0.0,0.0,,,
1151,0.0,0.0,0.0,0.0,,,
386,0.0,0.0,0.0,0.0,,,
759,0.0,0.0,0.0,0.0,,,
586,0.0,0.0,0.0,0.0,,,
70,0.0,0.0,0.0,0.0,,,
176,0.0,0.0,0.0,0.0,,,
1105,0.0,0.0,0.0,0.0,,,
787,0.0,0.0,0.0,0.0,,,
755,0.0,0.0,0.0,0.0,,,
917,0.0,0.0,0.0,0.0,,,
337,0.0,0.0,0.0,0.0,,,
72,0.0,0.0,0.0,0.0,,,
35,0.0,0.0,0.0,0.0,,,
720,0.0,0.0,0.0,0.0,,,
926,0.0,0.0,0.0,0.0,,,
818,0.0,0.0,0.0,0.0,,,
446,0.0,0.0,0.0,0.0,,,
81,0.0,0.0,0.0,0.0,,,
403,0.0,0.0,0.0,0.0,,,
568,0.0,0.0,0.0,0.0,,,
1186,0.0,0.0,0.0,0.0,,,
1000,0.0,0.0,0.0,0.0,,,
866,0.0,0.0,0.0,0.0,,,
1135,0.0,0.0,0.0,0.0,,,
101,0.0,0.0,0.0,0.0,,,
466,0.0,0.0,0.0,0.0,,,
1003,0.0,0.0,0.0,0.0,,,
1294,0.0,0.0,0.0,0.0,,,
1008,0.0,0.0,0.0,0.0,,,
763,0.0,0.0,0.0,0.0,,,
1201,0.0,0.0,0.0,0.0,,,
721,0.0,0.0,0.0,0.0,,,
436,0.0,0.0,0.0,0.0,,,
1061,0.0,0.0,0.0,0.0,,,
1748,0.0,0.0,0.0,0.0,,,
1687,0.0,0.0,0.0,0.0,,,
864,0.0,0.0,0.0,0.0,,,
3942,0.0,0.0,0.0,0.0,,,
674,0.0,0.0,0.0,0.0,,,
162,0.0,0.0,0.0,0.0,,,
924,0.0,0.0,0.0,0.0,,,
1747,0.0,0.0,0.0,0.0,,,
1874,0.0,0.0,0.0,0.0,,,
969,108.0,108.0,0.0,0.0,,,
1074,0.0,0.0,0.0,0.0,,,
3060,0.0,0.0,0.0,0.0,,,
