total,poblacion,death_per_1000
5184,881394.0,5.881592114309832
1112,209933.0,5.296928067526306
978,186869.0,5.23361285178387
1529,281396.0,5.433623789961477
3429,524004.0,6.543843176769643
2564,488716.0,5.246400772636869
5039,715751.0,7.040157820247544
2298,591083.0,3.8877788736945575
51,33042.0,1.5434901035046305
38668,4387434.0,8.813351950137598
2710,476257.0,5.690205078350554
2941,521154.0,5.643245566569574
5198,921763.0,5.639193588807536
10558,1562079.0,6.758941129097825
661,196535.0,3.3632686289973797
558,133705.0,4.17336674021166
581,161338.0,3.601135504344916
421,114202.0,3.686450324862962
19661,3228233.0,6.090328672063014
3030,401178.0,7.552757130251409
3185,511151.0,6.231035447450949
935,230503.0,4.056346338225533
4145,590600.0,7.018286488316966
376,120416.0,3.1225086367260166
