provincia,total,acumuladas,lat,lng,mes
Pastaza,27,76,-1.066667,-78.001111,3
Pichincha,1106,3345,-0.218611,-78.509722,3
Santa Elena,114,341,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,240,618,-0.254167,-79.171944,3
Sucumbíos,45,159,0.084722,-76.882778,3
Tungurahua,268,706,-1.241667,-78.619722,3
Zamora Chinchipe,23,69,-4.12,-78.8,3
Azuay,316,1289,-2.897414,-79.004481,4
Bolívar,55,284,-1.605556,-79.003056,4
Carchi,59,238,0.81218,-77.71633,4
Cañar,74,358,-2.733333,-78.833333,4
Chimborazo,178,799,-1.674347,-78.64829399999999,4
Cotopaxi,150,613,-0.933333,-78.616667,4
El Oro,234,1040,-3.266667,-79.966667,4
Esmeraldas,154,610,1.05,-79.2,4
Galápagos,4,16,-0.799999999999999,-89.4,4
Guayas,1879,7585,-2.183333,-79.883333,4
Imbabura,158,671,0.362678,-78.130667,4
Loja,189,805,-3.983333,-79.2,4
Los Ríos,331,1286,-1.8,-79.533333,4
Manabí,565,2311,-1.056181,-80.455217,4
Morona Santiago,49,176,-2.3,-78.116667,4
Napo,45,140,-0.989,-77.8159,4
Orellana,35,146,-0.466667,-76.966667,4
Pastaza,28,104,-1.066667,-78.001111,4
Pichincha,1019,4364,-0.218611,-78.509722,4
Santa Elena,110,451,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,199,817,-0.254167,-79.171944,4
Sucumbíos,67,226,0.084722,-76.882778,4
Tungurahua,243,949,-1.241667,-78.619722,4
Zamora Chinchipe,18,87,-4.12,-78.8,4
Azuay,354,1643,-2.897414,-79.004481,5
Bolívar,68,352,-1.605556,-79.003056,5
Carchi,62,300,0.81218,-77.71633,5
Cañar,84,442,-2.733333,-78.833333,5
Chimborazo,192,991,-1.674347,-78.64829399999999,5
Cotopaxi,156,769,-0.933333,-78.616667,5
El Oro,263,1303,-3.266667,-79.966667,5
Esmeraldas,125,735,1.05,-79.2,5
Galápagos,2,18,-0.799999999999999,-89.4,5
Guayas,1725,9310,-2.183333,-79.883333,5
Imbabura,192,863,0.362678,-78.130667,5
Loja,196,1001,-3.983333,-79.2,5
Los Ríos,306,1592,-1.8,-79.533333,5
Manabí,461,2772,-1.056181,-80.455217,5
Morona Santiago,43,219,-2.3,-78.116667,5
Napo,31,171,-0.989,-77.8159,5
Orellana,34,180,-0.466667,-76.966667,5
Pastaza,24,128,-1.066667,-78.001111,5
Pichincha,1077,5441,-0.218611,-78.509722,5
Santa Elena,102,553,-2.2267,-80.8583,5
Sto. Domingo Tsáchilas,182,999,-0.254167,-79.171944,5
Sucumbíos,42,268,0.084722,-76.882778,5
Tungurahua,228,1177,-1.241667,-78.619722,5
Zamora Chinchipe,11,98,-4.12,-78.8,5
Azuay,336,1979,-2.897414,-79.004481,6
Bolívar,74,426,-1.605556,-79.003056,6
Carchi,60,360,0.81218,-77.71633,6
Cañar,101,543,-2.733333,-78.833333,6
Chimborazo,189,1180,-1.674347,-78.64829399999999,6
Cotopaxi,135,904,-0.933333,-78.616667,6
El Oro,228,1531,-3.266667,-79.966667,6
Esmeraldas,141,876,1.05,-79.2,6
Galápagos,2,20,-0.799999999999999,-89.4,6
Guayas,1669,10979,-2.183333,-79.883333,6
Imbabura,162,1025,0.362678,-78.130667,6
Loja,190,1191,-3.983333,-79.2,6
Los Ríos,299,1891,-1.8,-79.533333,6
Manabí,509,3281,-1.056181,-80.455217,6
Morona Santiago,38,257,-2.3,-78.116667,6
Napo,49,220,-0.989,-77.8159,6
Orellana,31,211,-0.466667,-76.966667,6
Pastaza,18,146,-1.066667,-78.001111,6
Pichincha,1116,6557,-0.218611,-78.509722,6
Santa Elena,97,650,-2.2267,-80.8583,6
Sto. Domingo Tsáchilas,154,1153,-0.254167,-79.171944,6
Sucumbíos,53,321,0.084722,-76.882778,6
Tungurahua,215,1392,-1.241667,-78.619722,6
Zamora Chinchipe,25,123,-4.12,-78.8,6
Azuay,351,2330,-2.897414,-79.004481,7
Bolívar,68,494,-1.605556,-79.003056,7
Carchi,58,418,0.81218,-77.71633,7
Cañar,113,656,-2.733333,-78.833333,7
Chimborazo,190,1370,-1.674347,-78.64829399999999,7
Cotopaxi,190,1094,-0.933333,-78.616667,7
El Oro,229,1760,-3.266667,-79.966667,7
Esmeraldas,149,1025,1.05,-79.2,7
Galápagos,2,22,-0.799999999999999,-89.4,7
Guayas,1715,12694,-2.183333,-79.883333,7
Imbabura,159,1184,0.362678,-78.130667,7
Loja,200,1391,-3.983333,-79.2,7
Los Ríos,279,2170,-1.8,-79.533333,7
Manabí,528,3809,-1.056181,-80.455217,7
Morona Santiago,26,283,-2.3,-78.116667,7
Napo,41,261,-0.989,-77.8159,7
Orellana,39,250,-0.466667,-76.966667,7
Pastaza,33,179,-1.066667,-78.001111,7
Pichincha,1132,7689,-0.218611,-78.509722,7
Santa Elena,120,770,-2.2267,-80.8583,7
Sto. Domingo Tsáchilas,162,1315,-0.254167,-79.171944,7
Sucumbíos,48,369,0.084722,-76.882778,7
Tungurahua,230,1622,-1.241667,-78.619722,7
Zamora Chinchipe,16,139,-4.12,-78.8,7
Azuay,349,2679,-2.897414,-79.004481,8
Bolívar,66,560,-1.605556,-79.003056,8
Carchi,67,485,0.81218,-77.71633,8
Cañar,117,773,-2.733333,-78.833333,8
Chimborazo,214,1584,-1.674347,-78.64829399999999,8
Cotopaxi,170,1264,-0.933333,-78.616667,8
El Oro,257,2017,-3.266667,-79.966667,8
Esmeraldas,128,1153,1.05,-79.2,8
Galápagos,4,26,-0.799999999999999,-89.4,8
Guayas,1773,14467,-2.183333,-79.883333,8
Imbabura,191,1375,0.362678,-78.130667,8
Loja,209,1600,-3.983333,-79.2,8
Los Ríos,299,2469,-1.8,-79.533333,8
Manabí,543,4352,-1.056181,-80.455217,8
Morona Santiago,41,324,-2.3,-78.116667,8
Napo,30,291,-0.989,-77.8159,8
Orellana,40,290,-0.466667,-76.966667,8
Pastaza,20,199,-1.066667,-78.001111,8
Pichincha,1122,8811,-0.218611,-78.509722,8
Santa Elena,121,891,-2.2267,-80.8583,8
Sto. Domingo Tsáchilas,174,1489,-0.254167,-79.171944,8
Sucumbíos,45,414,0.084722,-76.882778,8
Tungurahua,245,1867,-1.241667,-78.619722,8
Zamora Chinchipe,20,159,-4.12,-78.8,8
Azuay,336,3015,-2.897414,-79.004481,9
Bolívar,76,636,-1.605556,-79.003056,9
Carchi,64,549,0.81218,-77.71633,9
Cañar,84,857,-2.733333,-78.833333,9
Chimborazo,219,1803,-1.674347,-78.64829399999999,9
Cotopaxi,175,1439,-0.933333,-78.616667,9
El Oro,284,2301,-3.266667,-79.966667,9
Esmeraldas,143,1296,1.05,-79.2,9
Galápagos,3,29,-0.799999999999999,-89.4,9
Guayas,1703,16170,-2.183333,-79.883333,9
Imbabura,169,1544,0.362678,-78.130667,9
Loja,202,1802,-3.983333,-79.2,9
Los Ríos,307,2776,-1.8,-79.533333,9
Manabí,553,4905,-1.056181,-80.455217,9
Morona Santiago,43,367,-2.3,-78.116667,9
Napo,26,317,-0.989,-77.8159,9
Orellana,29,319,-0.466667,-76.966667,9
Pastaza,25,224,-1.066667,-78.001111,9
Pichincha,1102,9913,-0.218611,-78.509722,9
Santa Elena,130,1021,-2.2267,-80.8583,9
Sto. Domingo Tsáchilas,190,1679,-0.254167,-79.171944,9
Sucumbíos,55,469,0.084722,-76.882778,9
Tungurahua,256,2123,-1.241667,-78.619722,9
Zamora Chinchipe,20,179,-4.12,-78.8,9
Azuay,306,3321,-2.897414,-79.004481,10
Bolívar,61,697,-1.605556,-79.003056,10
Carchi,66,615,0.81218,-77.71633,10
Cañar,97,954,-2.733333,-78.833333,10
Chimborazo,202,2005,-1.674347,-78.64829399999999,10
Cotopaxi,146,1585,-0.933333,-78.616667,10
El Oro,244,2545,-3.266667,-79.966667,10
Esmeraldas,152,1448,1.05,-79.2,10
Galápagos,4,33,-0.799999999999999,-89.4,10
Guayas,1704,17874,-2.183333,-79.883333,10
Imbabura,158,1702,0.362678,-78.130667,10
Loja,202,2004,-3.983333,-79.2,10
Los Ríos,295,3071,-1.8,-79.533333,10
Manabí,586,5491,-1.056181,-80.455217,10
Morona Santiago,44,411,-2.3,-78.116667,10
Napo,28,345,-0.989,-77.8159,10
Orellana,33,352,-0.466667,-76.966667,10
Pastaza,22,246,-1.066667,-78.001111,10
Pichincha,1064,10977,-0.218611,-78.509722,10
Santa Elena,76,1097,-2.2267,-80.8583,10
Sto. Domingo Tsáchilas,166,1845,-0.254167,-79.171944,10
Sucumbíos,57,526,0.084722,-76.882778,10
Tungurahua,236,2359,-1.241667,-78.619722,10
Zamora Chinchipe,27,206,-4.12,-78.8,10
Azuay,327,3648,-2.897414,-79.004481,11
Bolívar,71,768,-1.605556,-79.003056,11
Carchi,66,681,0.81218,-77.71633,11
Cañar,86,1040,-2.733333,-78.833333,11
Chimborazo,185,2190,-1.674347,-78.64829399999999,11
Cotopaxi,159,1744,-0.933333,-78.616667,11
El Oro,269,2814,-3.266667,-79.966667,11
Esmeraldas,134,1582,1.05,-79.2,11
Galápagos,7,40,-0.799999999999999,-89.4,11
Guayas,1690,19564,-2.183333,-79.883333,11
Imbabura,148,1850,0.362678,-78.130667,11
Loja,218,2222,-3.983333,-79.2,11
Los Ríos,302,3373,-1.8,-79.533333,11
Manabí,578,6069,-1.056181,-80.455217,11
Morona Santiago,40,451,-2.3,-78.116667,11
Napo,29,374,-0.989,-77.8159,11
Orellana,29,381,-0.466667,-76.966667,11
Pastaza,29,275,-1.066667,-78.001111,11
Pichincha,1085,12062,-0.218611,-78.509722,11
Santa Elena,107,1204,-2.2267,-80.8583,11
Sto. Domingo Tsáchilas,145,1990,-0.254167,-79.171944,11
Sucumbíos,52,578,0.084722,-76.882778,11
Tungurahua,223,2582,-1.241667,-78.619722,11
Zamora Chinchipe,31,237,-4.12,-78.8,11
Azuay,302,3950,-2.897414,-79.004481,12
Bolívar,58,826,-1.605556,-79.003056,12
Carchi,56,737,0.81218,-77.71633,12
Cañar,59,1099,-2.733333,-78.833333,12
Chimborazo,171,2361,-1.674347,-78.64829399999999,12
Cotopaxi,148,1892,-0.933333,-78.616667,12
El Oro,221,3035,-3.266667,-79.966667,12
Esmeraldas,121,1703,1.05,-79.2,12
Galápagos,4,44,-0.799999999999999,-89.4,12
Guayas,1711,21275,-2.183333,-79.883333,12
Imbabura,147,1997,0.362678,-78.130667,12
Loja,173,2395,-3.983333,-79.2,12
Los Ríos,249,3622,-1.8,-79.533333,12
Manabí,488,6557,-1.056181,-80.455217,12
Morona Santiago,51,502,-2.3,-78.116667,12
Napo,25,399,-0.989,-77.8159,12
Orellana,28,409,-0.466667,-76.966667,12
Pastaza,28,303,-1.066667,-78.001111,12
Pichincha,1152,13214,-0.218611,-78.509722,12
Santa Elena,92,1296,-2.2267,-80.8583,12
Sto. Domingo Tsáchilas,170,2160,-0.254167,-79.171944,12
Sucumbíos,44,622,0.084722,-76.882778,12
Tungurahua,198,2780,-1.241667,-78.619722,12
Zamora Chinchipe,16,253,-4.12,-78.8,12
