provincia,total,acumuladas,lat,lng,mes
Azuay,361,361,-2.897414,-79.004481,1
Bolívar,73,73,-1.605556,-79.003056,1
Carchi,62,62,0.81218,-77.71633,1
Cañar,94,94,-2.733333,-78.833333,1
Chimborazo,200,200,-1.674347,-78.64829399999999,1
Cotopaxi,164,164,-0.933333,-78.616667,1
El Oro,265,265,-3.266667,-79.966667,1
Esmeraldas,157,157,1.05,-79.2,1
Galápagos,5,5,-0.799999999999999,-89.4,1
Guayas,1979,1979,-2.183333,-79.883333,1
Imbabura,203,203,0.362678,-78.130667,1
Loja,201,201,-3.983333,-79.2,1
Los Ríos,317,317,-1.8,-79.533333,1
Manabí,608,608,-1.056181,-80.455217,1
Morona Santiago,41,41,-2.3,-78.116667,1
Napo,33,33,-0.989,-77.8159,1
Orellana,29,29,-0.466667,-76.966667,1
Pastaza,20,20,-1.066667,-78.001111,1
Pichincha,1230,1230,-0.218611,-78.509722,1
Santa Elena,119,119,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,225,225,-0.254167,-79.171944,1
Sucumbíos,56,56,0.084722,-76.882778,1
Tungurahua,239,239,-1.241667,-78.619722,1
Zamora Chinchipe,25,25,-4.12,-78.8,1
Azuay,301,662,-2.897414,-79.004481,2
Bolívar,75,148,-1.605556,-79.003056,2
Carchi,58,120,0.81218,-77.71633,2
Cañar,96,190,-2.733333,-78.833333,2
Chimborazo,193,393,-1.674347,-78.64829399999999,2
Cotopaxi,128,292,-0.933333,-78.616667,2
El Oro,250,515,-3.266667,-79.966667,2
Esmeraldas,132,289,1.05,-79.2,2
Galápagos,7,12,-0.799999999999999,-89.4,2
Guayas,1793,3772,-2.183333,-79.883333,2
Imbabura,158,361,0.362678,-78.130667,2
Loja,215,416,-3.983333,-79.2,2
Los Ríos,300,617,-1.8,-79.533333,2
Manabí,553,1161,-1.056181,-80.455217,2
Morona Santiago,30,71,-2.3,-78.116667,2
Napo,26,59,-0.989,-77.8159,2
Orellana,38,67,-0.466667,-76.966667,2
Pastaza,29,49,-1.066667,-78.001111,2
Pichincha,1009,2239,-0.218611,-78.509722,2
Santa Elena,108,227,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,153,378,-0.254167,-79.171944,2
Sucumbíos,58,114,0.084722,-76.882778,2
Tungurahua,199,438,-1.241667,-78.619722,2
Zamora Chinchipe,21,46,-4.12,-78.8,2
Azuay,311,973,-2.897414,-79.004481,3
Bolívar,81,229,-1.605556,-79.003056,3
Carchi,59,179,0.81218,-77.71633,3
Cañar,94,284,-2.733333,-78.833333,3
Chimborazo,228,621,-1.674347,-78.64829399999999,3
Cotopaxi,171,463,-0.933333,-78.616667,3
El Oro,291,806,-3.266667,-79.966667,3
Esmeraldas,167,456,1.05,-79.2,3
Galápagos,0,12,-0.799999999999999,-89.4,3
Guayas,1934,5706,-2.183333,-79.883333,3
Imbabura,152,513,0.362678,-78.130667,3
Loja,200,616,-3.983333,-79.2,3
Los Ríos,338,955,-1.8,-79.533333,3
Manabí,585,1746,-1.056181,-80.455217,3
Morona Santiago,56,127,-2.3,-78.116667,3
Napo,36,95,-0.989,-77.8159,3
Orellana,44,111,-0.466667,-76.966667,3
