provincia,poblacion,total,acumuladas,lat,lng,mes
Azuay,881394,505,505,-2.897414,-79.004481,1
Bolívar,209933,110,110,-1.605556,-79.003056,1
Carchi,186869,151,151,0.81218,-77.71633,1
Cañar,281396,139,139,-2.733333,-78.833333,1
Chimborazo,524004,317,317,-1.674347,-78.64829399999999,1
Cotopaxi,488716,279,279,-0.933333,-78.616667,1
El Oro,715751,442,442,-3.266667,-79.966667,1
Esmeraldas,591083,176,176,1.05,-79.2,1
Galápagos,33042,12,12,-0.799999999999999,-89.4,1
Guayas,4387434,2664,2664,-2.183333,-79.883333,1
Imbabura,476257,274,274,0.362678,-78.130667,1
Loja,521154,250,250,-3.983333,-79.2,1
Los Ríos,921763,441,441,-1.8,-79.533333,1
Manabí,1562079,774,774,-1.056181,-80.455217,1
Morona Santiago,196535,57,57,-2.3,-78.116667,1
Napo,133705,57,57,-0.989,-77.8159,1
Orellana,161338,46,46,-0.466667,-76.966667,1
Pastaza,114202,42,42,-1.066667,-78.001111,1
Pichincha,3228233,1828,1828,-0.218611,-78.509722,1
Santa Elena,401178,178,178,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,511151,245,245,-0.254167,-79.171944,1
Sucumbíos,230503,85,85,0.084722,-76.882778,1
Tungurahua,590600,448,448,-1.241667,-78.619722,1
Zamora Chinchipe,120416,32,32,-4.12,-78.8,1
Azuay,881394,479,984,-2.897414,-79.004481,2
Bolívar,209933,94,204,-1.605556,-79.003056,2
Carchi,186869,73,224,0.81218,-77.71633,2
Cañar,281396,132,271,-2.733333,-78.833333,2
Chimborazo,524004,266,583,-1.674347,-78.64829399999999,2
Cotopaxi,488716,273,552,-0.933333,-78.616667,2
El Oro,715751,465,907,-3.266667,-79.966667,2
Esmeraldas,591083,192,368,1.05,-79.2,2
Galápagos,33042,6,18,-0.799999999999999,-89.4,2
Guayas,4387434,2461,5125,-2.183333,-79.883333,2
Imbabura,476257,237,511,0.362678,-78.130667,2
Loja,521154,286,536,-3.983333,-79.2,2
Los Ríos,921763,470,911,-1.8,-79.533333,2
Manabí,1562079,867,1641,-1.056181,-80.455217,2
Morona Santiago,196535,48,105,-2.3,-78.116667,2
Napo,133705,41,98,-0.989,-77.8159,2
Orellana,161338,44,90,-0.466667,-76.966667,2
Pastaza,114202,29,71,-1.066667,-78.001111,2
Pichincha,3228233,1626,3454,-0.218611,-78.509722,2
Santa Elena,401178,131,309,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,511151,268,513,-0.254167,-79.171944,2
Sucumbíos,230503,75,160,0.084722,-76.882778,2
Tungurahua,590600,352,800,-1.241667,-78.619722,2
Zamora Chinchipe,120416,36,68,-4.12,-78.8,2
Azuay,881394,525,1509,-2.897414,-79.004481,3
Bolívar,209933,149,353,-1.605556,-79.003056,3
Carchi,186869,96,320,0.81218,-77.71633,3
Cañar,281396,170,441,-2.733333,-78.833333,3
Chimborazo,524004,335,918,-1.674347,-78.64829399999999,3
Cotopaxi,488716,264,816,-0.933333,-78.616667,3
El Oro,715751,496,1403,-3.266667,-79.966667,3
Esmeraldas,591083,295,663,1.05,-79.2,3
Galápagos,33042,11,29,-0.799999999999999,-89.4,3
Guayas,4387434,3152,8277,-2.183333,-79.883333,3
Imbabura,476257,250,761,0.362678,-78.130667,3
Loja,521154,456,992,-3.983333,-79.2,3
Los Ríos,921763,593,1504,-1.8,-79.533333,3
Manabí,1562079,1146,2787,-1.056181,-80.455217,3
Morona Santiago,196535,61,166,-2.3,-78.116667,3
Napo,133705,51,149,-0.989,-77.8159,3
Orellana,161338,56,146,-0.466667,-76.966667,3
Pastaza,114202,47,118,-1.066667,-78.001111,3
Pichincha,3228233,1934,5388,-0.218611,-78.509722,3
Santa Elena,401178,201,510,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,511151,389,902,-0.254167,-79.171944,3
Sucumbíos,230503,103,263,0.084722,-76.882778,3
Tungurahua,590600,361,1161,-1.241667,-78.619722,3
Zamora Chinchipe,120416,40,108,-4.12,-78.8,3
Azuay,881394,599,2108,-2.897414,-79.004481,4
Bolívar,209933,145,498,-1.605556,-79.003056,4
Carchi,186869,105,425,0.81218,-77.71633,4
Cañar,281396,152,593,-2.733333,-78.833333,4
Chimborazo,524004,378,1296,-1.674347,-78.64829399999999,4
Cotopaxi,488716,311,1127,-0.933333,-78.616667,4
El Oro,715751,710,2113,-3.266667,-79.966667,4
Esmeraldas,591083,275,938,1.05,-79.2,4
Galápagos,33042,9,38,-0.799999999999999,-89.4,4
Guayas,4387434,3739,12016,-2.183333,-79.883333,4
Imbabura,476257,328,1089,0.362678,-78.130667,4
Loja,521154,514,1506,-3.983333,-79.2,4
Los Ríos,921763,660,2164,-1.8,-79.533333,4
Manabí,1562079,1184,3971,-1.056181,-80.455217,4
Morona Santiago,196535,60,226,-2.3,-78.116667,4
Napo,133705,50,199,-0.989,-77.8159,4
Orellana,161338,58,204,-0.466667,-76.966667,4
Pastaza,114202,46,164,-1.066667,-78.001111,4
Pichincha,3228233,2482,7870,-0.218611,-78.509722,4
Santa Elena,401178,278,788,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,511151,430,1332,-0.254167,-79.171944,4
Sucumbíos,230503,120,383,0.084722,-76.882778,4
Tungurahua,590600,537,1698,-1.241667,-78.619722,4
Zamora Chinchipe,120416,87,195,-4.12,-78.8,4
Azuay,881394,599,2707,-2.897414,-79.004481,5
Bolívar,209933,111,609,-1.605556,-79.003056,5
Carchi,186869,113,538,0.81218,-77.71633,5
Cañar,281396,156,749,-2.733333,-78.833333,5
Chimborazo,524004,369,1665,-1.674347,-78.64829399999999,5
Cotopaxi,488716,317,1444,-0.933333,-78.616667,5
El Oro,715751,537,2650,-3.266667,-79.966667,5
Esmeraldas,591083,242,1180,1.05,-79.2,5
Galápagos,33042,6,44,-0.799999999999999,-89.4,5
Guayas,4387434,2954,14970,-2.183333,-79.883333,5
Imbabura,476257,359,1448,0.362678,-78.130667,5
Loja,521154,348,1854,-3.983333,-79.2,5
Los Ríos,921763,540,2704,-1.8,-79.533333,5
Manabí,1562079,853,4824,-1.056181,-80.455217,5
Morona Santiago,196535,57,283,-2.3,-78.116667,5
