provincia,total,acumuladas,lat,lng,mes
Azuay,327,327,-2.897414,-79.004481,1
Bolívar,57,57,-1.605556,-79.003056,1
Carchi,63,63,0.81218,-77.71633,1
Cañar,87,87,-2.733333,-78.833333,1
Chimborazo,156,156,-1.674347,-78.64829399999999,1
Cotopaxi,164,164,-0.933333,-78.616667,1
El Oro,222,222,-3.266667,-79.966667,1
Esmeraldas,132,132,1.05,-79.2,1
Galápagos,1,1,-0.799999999999999,-89.4,1
Guayas,1555,1555,-2.183333,-79.883333,1
Imbabura,163,163,0.362678,-78.130667,1
Loja,225,225,-3.983333,-79.2,1
Los Ríos,280,280,-1.8,-79.533333,1
Manabí,475,475,-1.056181,-80.455217,1
Morona Santiago,33,33,-2.3,-78.116667,1
Napo,27,27,-0.989,-77.8159,1
Orellana,31,31,-0.466667,-76.966667,1
Otro,1,1,0.0,0.0,1
Pastaza,22,22,-1.066667,-78.001111,1
Pichincha,963,963,-0.218611,-78.509722,1
Santa Elena,108,108,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,139,139,-0.254167,-79.171944,1
Sucumbíos,42,42,0.084722,-76.882778,1
Tungurahua,212,212,-1.241667,-78.619722,1
Zamora Chinchipe,22,22,-4.12,-78.8,1
Azuay,292,619,-2.897414,-79.004481,2
Bolívar,78,135,-1.605556,-79.003056,2
Carchi,42,105,0.81218,-77.71633,2
Cañar,74,161,-2.733333,-78.833333,2
Chimborazo,187,343,-1.674347,-78.64829399999999,2
Cotopaxi,124,288,-0.933333,-78.616667,2
El Oro,208,430,-3.266667,-79.966667,2
Esmeraldas,112,244,1.05,-79.2,2
Galápagos,1,2,-0.799999999999999,-89.4,2
Guayas,1443,2998,-2.183333,-79.883333,2
Imbabura,134,297,0.362678,-78.130667,2
Loja,165,390,-3.983333,-79.2,2
Los Ríos,227,507,-1.8,-79.533333,2
Manabí,440,915,-1.056181,-80.455217,2
Morona Santiago,25,58,-2.3,-78.116667,2
Napo,18,45,-0.989,-77.8159,2
Orellana,25,56,-0.466667,-76.966667,2
Otro,1,2,0.0,0.0,2
Pastaza,20,42,-1.066667,-78.001111,2
Pichincha,872,1835,-0.218611,-78.509722,2
Santa Elena,80,188,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,139,278,-0.254167,-79.171944,2
Sucumbíos,38,80,0.084722,-76.882778,2
Tungurahua,211,423,-1.241667,-78.619722,2
Zamora Chinchipe,17,39,-4.12,-78.8,2
Azuay,329,948,-2.897414,-79.004481,3
Bolívar,71,206,-1.605556,-79.003056,3
Carchi,60,165,0.81218,-77.71633,3
Cañar,85,246,-2.733333,-78.833333,3
Chimborazo,206,549,-1.674347,-78.64829399999999,3
Cotopaxi,131,419,-0.933333,-78.616667,3
El Oro,245,675,-3.266667,-79.966667,3
Esmeraldas,122,366,1.05,-79.2,3
Galápagos,2,4,-0.799999999999999,-89.4,3
Guayas,1596,4594,-2.183333,-79.883333,3
Imbabura,167,464,0.362678,-78.130667,3
Loja,178,568,-3.983333,-79.2,3
Los Ríos,253,760,-1.8,-79.533333,3
Manabí,518,1433,-1.056181,-80.455217,3
Morona Santiago,30,88,-2.3,-78.116667,3
Napo,28,73,-0.989,-77.8159,3
Orellana,30,86,-0.466667,-76.966667,3
Otro,2,4,0.0,0.0,3
Pastaza,16,58,-1.066667,-78.001111,3
Pichincha,958,2793,-0.218611,-78.509722,3
Santa Elena,115,303,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,138,416,-0.254167,-79.171944,3
Sucumbíos,37,117,0.084722,-76.882778,3
Tungurahua,202,625,-1.241667,-78.619722,3
Zamora Chinchipe,22,61,-4.12,-78.8,3
Azuay,317,1265,-2.897414,-79.004481,4
Bolívar,65,271,-1.605556,-79.003056,4
Carchi,45,210,0.81218,-77.71633,4
Cañar,84,330,-2.733333,-78.833333,4
Chimborazo,194,743,-1.674347,-78.64829399999999,4
Cotopaxi,125,544,-0.933333,-78.616667,4
El Oro,227,902,-3.266667,-79.966667,4
Esmeraldas,144,510,1.05,-79.2,4
Galápagos,2,6,-0.799999999999999,-89.4,4
Guayas,1632,6226,-2.183333,-79.883333,4
Imbabura,140,604,0.362678,-78.130667,4
Loja,164,732,-3.983333,-79.2,4
Los Ríos,248,1008,-1.8,-79.533333,4
Manabí,553,1986,-1.056181,-80.455217,4
Morona Santiago,39,127,-2.3,-78.116667,4
Napo,28,101,-0.989,-77.8159,4
Orellana,26,112,-0.466667,-76.966667,4
Otro,0,4,0.0,0.0,4
Pastaza,17,75,-1.066667,-78.001111,4
Pichincha,982,3775,-0.218611,-78.509722,4
Santa Elena,111,414,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,138,554,-0.254167,-79.171944,4
Sucumbíos,37,154,0.084722,-76.882778,4
Tungurahua,205,830,-1.241667,-78.619722,4
Zamora Chinchipe,13,74,-4.12,-78.8,4
Azuay,290,1555,-2.897414,-79.004481,5
Bolívar,65,336,-1.605556,-79.003056,5
Carchi,56,266,0.81218,-77.71633,5
Cañar,87,417,-2.733333,-78.833333,5
Chimborazo,194,937,-1.674347,-78.64829399999999,5
Cotopaxi,143,687,-0.933333,-78.616667,5
El Oro,231,1133,-3.266667,-79.966667,5
Esmeraldas,150,660,1.05,-79.2,5
Galápagos,3,9,-0.799999999999999,-89.4,5
Guayas,1797,8023,-2.183333,-79.883333,5
Imbabura,147,751,0.362678,-78.130667,5
Loja,185,917,-3.983333,-79.2,5
Los Ríos,263,1271,-1.8,-79.533333,5
Manabí,606,2592,-1.056181,-80.455217,5
Morona Santiago,38,165,-2.3,-78.116667,5
Napo,37,138,-0.989,-77.8159,5
Orellana,38,150,-0.466667,-76.966667,5
Otro,3,7,0.0,0.0,5
Pastaza,25,100,-1.066667,-78.001111,5
Pichincha,948,4723,-0.218611,-78.509722,5
Santa Elena,120,534,-2.2267,-80.8583,5
Sto. Domingo Tsáchilas,155,709,-0.254167,-79.171944,5
Sucumbíos,49,203,0.084722,-76.882778,5
Tungurahua,211,1041,-1.241667,-78.619722,5
Zamora Chinchipe,25,99,-4.12,-78.8,5
Azuay,306,1861,-2.897414,-79.004481,6
Bolívar,63,399,-1.605556,-79.003056,6
Carchi,64,330,0.81218,-77.71633,6
Cañar,77,494,-2.733333,-78.833333,6
Chimborazo,184,1121,-1.674347,-78.64829399999999,6
Cotopaxi,131,818,-0.933333,-78.616667,6
El Oro,211,1344,-3.266667,-79.966667,6
Esmeraldas,120,780,1.05,-79.2,6
Galápagos,5,14,-0.799999999999999,-89.4,6
Guayas,1729,9752,-2.183333,-79.883333,6
Imbabura,126,877,0.362678,-78.130667,6
Loja,181,1098,-3.983333,-79.2,6
Los Ríos,247,1518,-1.8,-79.533333,6
Manabí,536,3128,-1.056181,-80.455217,6
Morona Santiago,36,201,-2.3,-78.116667,6
Napo,31,169,-0.989,-77.8159,6
Orellana,27,177,-0.466667,-76.966667,6
Otro,0,7,0.0,0.0,6
Pastaza,19,119,-1.066667,-78.001111,6
Pichincha,951,5674,-0.218611,-78.509722,6
Santa Elena,113,647,-2.2267,-80.8583,6
Sto. Domingo Tsáchilas,135,844,-0.254167,-79.171944,6
Sucumbíos,41,244,0.084722,-76.882778,6
Tungurahua,224,1265,-1.241667,-78.619722,6
Zamora Chinchipe,25,124,-4.12,-78.8,6
Azuay,301,2162,-2.897414,-79.004481,7
Bolívar,67,466,-1.605556,-79.003056,7
Carchi,57,387,0.81218,-77.71633,7
Cañar,83,577,-2.733333,-78.833333,7
Chimborazo,179,1300,-1.674347,-78.64829399999999,7
Cotopaxi,136,954,-0.933333,-78.616667,7
El Oro,232,1576,-3.266667,-79.966667,7
Esmeraldas,139,919,1.05,-79.2,7
Galápagos,3,17,-0.799999999999999,-89.4,7
Guayas,1545,11297,-2.183333,-79.883333,7
Imbabura,154,1031,0.362678,-78.130667,7
Loja,170,1268,-3.983333,-79.2,7
Los Ríos,273,1791,-1.8,-79.533333,7
Manabí,496,3624,-1.056181,-80.455217,7
Morona Santiago,37,238,-2.3,-78.116667,7
Napo,32,201,-0.989,-77.8159,7
Orellana,34,211,-0.466667,-76.966667,7
Otro,2,9,0.0,0.0,7
Pastaza,17,136,-1.066667,-78.001111,7
Pichincha,949,6623,-0.218611,-78.509722,7
Santa Elena,100,747,-2.2267,-80.8583,7
Sto. Domingo Tsáchilas,165,1009,-0.254167,-79.171944,7
Sucumbíos,43,287,0.084722,-76.882778,7
Tungurahua,238,1503,-1.241667,-78.619722,7
Zamora Chinchipe,22,146,-4.12,-78.8,7
Azuay,300,2462,-2.897414,-79.004481,8
Bolívar,63,529,-1.605556,-79.003056,8
Carchi,51,438,0.81218,-77.71633,8
Cañar,80,657,-2.733333,-78.833333,8
Chimborazo,181,1481,-1.674347,-78.64829399999999,8
Cotopaxi,155,1109,-0.933333,-78.616667,8
El Oro,206,1782,-3.266667,-79.966667,8
Esmeraldas,132,1051,1.05,-79.2,8
Galápagos,8,25,-0.799999999999999,-89.4,8
Guayas,1554,12851,-2.183333,-79.883333,8
Imbabura,153,1184,0.362678,-78.130667,8
Loja,168,1436,-3.983333,-79.2,8
Los Ríos,284,2075,-1.8,-79.533333,8
Manabí,480,4104,-1.056181,-80.455217,8
Morona Santiago,32,270,-2.3,-78.116667,8
Napo,28,229,-0.989,-77.8159,8
Orellana,28,239,-0.466667,-76.966667,8
Otro,2,11,0.0,0.0,8
Pastaza,28,164,-1.066667,-78.001111,8
Pichincha,962,7585,-0.218611,-78.509722,8
Santa Elena,92,839,-2.2267,-80.8583,8
Sto. Domingo Tsáchilas,166,1175,-0.254167,-79.171944,8
Sucumbíos,56,343,0.084722,-76.882778,8
Tungurahua,243,1746,-1.241667,-78.619722,8
Zamora Chinchipe,19,165,-4.12,-78.8,8
Azuay,291,2753,-2.897414,-79.004481,9
Bolívar,79,608,-1.605556,-79.003056,9
Carchi,44,482,0.81218,-77.71633,9
Cañar,101,758,-2.733333,-78.833333,9
Chimborazo,177,1658,-1.674347,-78.64829399999999,9
Cotopaxi,144,1253,-0.933333,-78.616667,9
El Oro,198,1980,-3.266667,-79.966667,9
Esmeraldas,111,1162,1.05,-79.2,9
Galápagos,4,29,-0.799999999999999,-89.4,9
Guayas,1528,14379,-2.183333,-79.883333,9
Imbabura,155,1339,0.362678,-78.130667,9
Loja,172,1608,-3.983333,-79.2,9
Los Ríos,226,2301,-1.8,-79.533333,9
Manabí,461,4565,-1.056181,-80.455217,9
Morona Santiago,40,310,-2.3,-78.116667,9
Napo,34,263,-0.989,-77.8159,9
Orellana,29,268,-0.466667,-76.966667,9
Otro,1,12,0.0,0.0,9
Pastaza,22,186,-1.066667,-78.001111,9
Pichincha,809,8394,-0.218611,-78.509722,9
Santa Elena,83,922,-2.2267,-80.8583,9
Sto. Domingo Tsáchilas,155,1330,-0.254167,-79.171944,9
Sucumbíos,40,383,0.084722,-76.882778,9
Tungurahua,213,1959,-1.241667,-78.619722,9
Zamora Chinchipe,15,180,-4.12,-78.8,9
Azuay,313,3066,-2.897414,-79.004481,10
Bolívar,64,672,-1.605556,-79.003056,10
Carchi,55,537,0.81218,-77.71633,10
Cañar,81,839,-2.733333,-78.833333,10
Chimborazo,169,1827,-1.674347,-78.64829399999999,10
Cotopaxi,113,1366,-0.933333,-78.616667,10
El Oro,225,2205,-3.266667,-79.966667,10
Esmeraldas,130,1292,1.05,-79.2,10
Galápagos,5,34,-0.799999999999999,-89.4,10
Guayas,1525,15904,-2.183333,-79.883333,10
Imbabura,152,1491,0.362678,-78.130667,10
Loja,199,1807,-3.983333,-79.2,10
