provincia,total,acumuladas,lat,lng,mes
Los Ríos,282,2583,-1.8,-79.533333,10
Manabí,467,5032,-1.056181,-80.455217,10
Morona Santiago,42,352,-2.3,-78.116667,10
Napo,23,286,-0.989,-77.8159,10
Orellana,38,306,-0.466667,-76.966667,10
Otro,1,13,0.0,0.0,10
Pastaza,18,204,-1.066667,-78.001111,10
Pichincha,973,9367,-0.218611,-78.509722,10
Santa Elena,121,1043,-2.2267,-80.8583,10
Sto. Domingo Tsáchilas,142,1472,-0.254167,-79.171944,10
Sucumbíos,48,431,0.084722,-76.882778,10
Tungurahua,217,2176,-1.241667,-78.619722,10
Zamora Chinchipe,12,192,-4.12,-78.8,10
Azuay,298,3364,-2.897414,-79.004481,11
Bolívar,58,730,-1.605556,-79.003056,11
Carchi,54,591,0.81218,-77.71633,11
Cañar,69,908,-2.733333,-78.833333,11
Chimborazo,180,2007,-1.674347,-78.64829399999999,11
Cotopaxi,121,1487,-0.933333,-78.616667,11
El Oro,198,2403,-3.266667,-79.966667,11
Esmeraldas,124,1416,1.05,-79.2,11
Galápagos,1,35,-0.799999999999999,-89.4,11
Guayas,1522,17426,-2.183333,-79.883333,11
Imbabura,144,1635,0.362678,-78.130667,11
Loja,147,1954,-3.983333,-79.2,11
Los Ríos,242,2825,-1.8,-79.533333,11
Manabí,441,5473,-1.056181,-80.455217,11
Morona Santiago,33,385,-2.3,-78.116667,11
Napo,31,317,-0.989,-77.8159,11
Orellana,34,340,-0.466667,-76.966667,11
Otro,1,14,0.0,0.0,11
Pastaza,18,222,-1.066667,-78.001111,11
Pichincha,918,10285,-0.218611,-78.509722,11
Santa Elena,78,1121,-2.2267,-80.8583,11
Sto. Domingo Tsáchilas,138,1610,-0.254167,-79.171944,11
Sucumbíos,41,472,0.084722,-76.882778,11
Tungurahua,203,2379,-1.241667,-78.619722,11
Zamora Chinchipe,20,212,-4.12,-78.8,11
Azuay,276,3640,-2.897414,-79.004481,12
Bolívar,65,795,-1.605556,-79.003056,12
Carchi,56,647,0.81218,-77.71633,12
Cañar,76,984,-2.733333,-78.833333,12
Chimborazo,183,2190,-1.674347,-78.64829399999999,12
Cotopaxi,136,1623,-0.933333,-78.616667,12
El Oro,197,2600,-3.266667,-79.966667,12
Esmeraldas,110,1526,1.05,-79.2,12
Galápagos,4,39,-0.799999999999999,-89.4,12
Guayas,1561,18987,-2.183333,-79.883333,12
Imbabura,140,1775,0.362678,-78.130667,12
Loja,155,2109,-3.983333,-79.2,12
Los Ríos,275,3100,-1.8,-79.533333,12
Manabí,433,5906,-1.056181,-80.455217,12
Morona Santiago,31,416,-2.3,-78.116667,12
Napo,18,335,-0.989,-77.8159,12
Orellana,39,379,-0.466667,-76.966667,12
Otro,0,14,0.0,0.0,12
Pastaza,19,241,-1.066667,-78.001111,12
Pichincha,942,11227,-0.218611,-78.509722,12
Santa Elena,87,1208,-2.2267,-80.8583,12
Sto. Domingo Tsáchilas,130,1740,-0.254167,-79.171944,12
Sucumbíos,31,503,0.084722,-76.882778,12
Tungurahua,202,2581,-1.241667,-78.619722,12
Zamora Chinchipe,13,225,-4.12,-78.8,12
